ASIN,UPC,Title,Category,Amazon Price (£),Sales Rank,Est. Monthly Sales,Opportunity Score,Num Sellers,Num FBA Sellers,Buy Box Owner,Avg Price (90d) (£),Price Stability,Underserved,Supplier Name,Supplier Cost (£),Shipping Cost (£),Total Cost (£),Est. Profit/Unit (£),Profit Margin (%),ROI (%),Profit Potential (£),Notes
B0F2225QSF,,"Hair Syrup | Rapunzel Pre-Wash Hair Oil | Infused with Pink Grapefruit, Sweet Almond & Cherry | Revitalise Your Scalp & Mind | Vegan | 100% Natural | 100ml",Beauty,15.95,1361,312,19.0,2,,,15.31,0.96,No,,,,,,,,1.51,
B0C7CCBKP6,,"COCORRÍNA Reed Diffuser Set, 200ml Clean Linen Scented Diffuser with Sticks Home Fragrance for Bedroom Bathroom Living Room, Home & Office Decor",Home & Kitchen,19.99,586,671,19.0,3,,,18.90,0.92,No,,,,,,,,2.35,
B0CTXWQRHN,,"Vtopmart 4 Pack Stackable Storage Drawers,Clear Acrylic Drawer Organizers with Handles, Easily Assemble for Fridge, Bathroom,Kitchen Undersink,Cabinet,Pantry Organization and Storage",Home & Kitchen,27.49,1872,281,18.9,1,,,33.45,0.88,No,,,,,,,,3.93,
B0DSVP3LT1,,"Guitar Pick Case, Guitar Picks Holder Amp Speaker Guitar Pick Box | Guitar Pick Storage Container for Guitar Players Lovers | Guitar Picks Organizer | Simulation Speaker Desktop Ornaments Gift",Musical Instruments & DJ,7.49,398,302,18.7,2,,,7.97,0.82,No,Alibaba - Demo Alibaba Supplier,2.25,1.50,3.75,-0.45,-0.1,-0.1,1.05,
B004OSG7LK,,Hidersine 12V Violin Rosin. Small Size. Handmade in the UK since 1890. Approx 10g cake. Ideal as a first rosin for beginners and students.,Musical Instruments & DJ,7.95,156,583,18.7,1,,,3.05,0.78,No,Alibaba - Demo Alibaba Supplier,2.38,1.50,3.88,-0.19,-0.0,-0.0,1.31,
B016MO90GW,,"Anker Soundcore Bluetooth Speaker Upgraded Version with 24H Playtime, IPX5 Waterproof, Stereo Sound, 66ft Bluetooth Range, Built-In Mic, Portable Wireless Speaker for iPhone Samsung",Electronics & Photo,29.99,36,3402,18.6,1,,,27.05,0.80,No,,,,,,,,4.46,
B002A14CXI,,"Hidersine Hidersol Varnish Cleaner and Polish for Violin, Viola, Cello and Double Bass. Remove Rosin and Dirt from Valuable Musical Instruments. Made in The UK Since 1890. 50ml Bottle.",Musical Instruments & DJ,8.99,2215,91,18.5,2,,,4.54,0.80,No,Alibaba - Demo Alibaba Supplier,2.70,1.50,4.20,0.37,0.0,0.1,1.87,
B0F8PLPTJ3,,"Muso Pro® Clip-On Chromatic Guitar Tuner – 5 Free Picks, Digital LCD Display for Guitar, Bass, Violin, Ukulele & More – Fast, Accurate, Easy to Use – Battery Included",Musical Instruments & DJ,6.99,59,1694,18.4,1,,,,0.86,No,Alibaba - Demo Alibaba Supplier,2.10,1.50,3.60,-0.73,-0.1,-0.2,0.27,
B0CJ591KWN,,"SULIVES Guitar Tuner Clip On - Digital Tuners for Acoustic Guitar, Electronic Guitar, Bass, Violin, Ukulele - Lightweight, Accurate, and Essential Musical Accessory, SLV-PZ10503",,5.99,1712,187,18.4,1,,,6.08,0.86,No,Alibaba - Demo Alibaba Supplier,1.80,1.50,3.30,-1.28,-0.2,-0.4,0.22,
B01MTB55WH,,"soundcore Anker 2 Portable Bluetooth Speaker with 12W Stereo Sound, BassUp, IPX7 Waterproof, 24-Hour Playtime, Speaker for Home, Outdoors, Travel",Electronics & Photo,24.98,97,1617,18.4,3,,,35.70,0.74,No,,,,,,,,3.40,
