ASIN,UPC,Title,Category,Amazon Price (£),Sales Rank,Est. Monthly Sales,Opportunity Score,Num Sellers,Num FBA Sellers,Buy Box Owner,Avg Price (90d) (£),Price Stability,Underserved,Supplier Name,Supplier Cost (£),Shipping Cost (£),Total Cost (£),Est. Profit/Unit (£),Profit Margin (%),ROI (%),Profit Potential (£),Notes
B079P4ZDY8,,"Tisserand - Total De-Stress Body & Room Mist - 100% Natural Essential Oils for Calm, Relaxation & Anxiety Relief - Relaxing Aromatherapy Spray, 100 ml",Health & Personal Care,7.39,3591,140,12.7,5,,,8.14,0.80,No,,,,,,,,-0.48,
B007O7AZBG,,"Real Techniques Expert Face Makeup Brush, For Liquid and Cream Foundation, Blush, and Bronzer, Buildable Coverage for Base Makeup, Dense, Synthetic Bristles, Vegan and Cruelty-Free, 1 Count",Beauty,6.74,703,512,12.3,6,,,5.97,0.74,No,,,,,,,,-0.71,
B004W7WG1S,,"Pirastro Goldflex Violin Rosin for Enhanced String Performance - Violin-Grade Rosin Designed for Evah Pirazzi Gold Strings - Smooth Playing with Rich Sound Projection, Made with Natural Resin",Musical Instruments & DJ,16.14,3008,73,12.2,6,,,13.63,0.84,No,,,,,,,,1.55,
B000IU40HQ,,"HG Mould Spray – Powerful Black Mould & Mildew Remover for Bathrooms and Kitchens, Quickly Eliminates Stains and Freshens Surfaces - 500ml",Grocery,5.10,25,4472,11.9,31,,,5.06,0.80,No,,,,,,,,-1.28,
B0083H8ASG,,"L'Oréal Paris Elvive Extraordinary Oil Miracle Hair Serum, Intense Nourishment, Up to 6x more Shine, up to 230° heat protection, suitable for all hair types, 100ml",Beauty,5.49,94,2318,11.5,14,,,6.94,0.64,No,,,,,,,,-1.15,
B0G3Q6MR7B,,"2PCS Vio/lin Rosin,Cel/lo Viola Rosin,Natural Light Low Dust Rosin for Vio/lin Bow,Effective Rosin,Suitable for String Music Instruments,Universal String Instrument Accessory,Perfect for Beginner",Musical Instruments & DJ,3.09,17427,21,11.3,1,,,3.76,0.80,No,,,,,,,,-1.99,
B0GKC8HDM1,,"Wireless Earbuds, Bluetooth 5.3 Headphones in Ear buds, HiFi Stereo Wireless Earphones with 4 ENC Noise Cancelling Mics, 48H Wireless Headphones with IP17 Waterproof, LED Display USB C, White-K1",Electronics & Photo,139.99,100000,8,5.0,1,,,139.99,1.00,No,,,,,,,,27.55,
B0DGHWD7CT,,"Apple AirPods 4 Wireless Earbuds, Bluetooth Headphones, Personalised Spatial Audio, Sweat and Water Resistant, USB-C Charging Case, H2 Chip, Up to 24 Hours of Battery Life, Effortless Setup for iPhone",Electronics & Photo,99.00,100000,8,4.8,2,,,121.83,0.90,No,,,,,,,,18.95,
B0FCDZTRBR,,USB C Charger for Samsung Fast Charger USB C Plug & Cable 3M Long 25W Type C Super Fast Phone Charging Android Adaptor UK 2-Pack for Galaxy S26/S25 Ultra/S24/S23/S22/S21/A56/A55/A36/A17/A16/Note 20/10,Electronics & Photo,19.99,100000,8,4.7,1,,,18.99,0.91,No,,,,,,,,2.35,
B0DRCQSJ9H,,"for iPhone Charger Fast Charge, 2Pack PD Fast Apple Charger UK USB C Plug With 2M&3M iPhone Fast Charger Cable [ MFi Certified] Lightning Cable for iPhone 14 13 12 11 Pro Max XS X 8 6, iPad",Electronics & Photo,11.97,100000,8,4.4,2,,,11.51,0.84,No,,,,,,,,0.67,
B0CXPFZBF8,,"Samsung Phone Fast Charger Plug and Cable 1M for Samsung Galaxy S25/S24/S23/S22/S21/S20/A56/A55/A54/A53/A36/A35/A34/A33/A32/A17/A16/A26/A25/A40/A70/A71, USB Type C Lead 1M with USBC Charging Plug UK",Electronics & Photo,8.49,100000,8,4.3,2,,,9.48,0.88,No,,,,,,,,-0.10,
B0DZC5GW75,,"Wireless Earbuds,Bluetooth 5.3 in Ear Headphones with Noise Cancelling Mic, 48H Playtime HiFi Stereo Bluetooth Earphones, IPX8 Waterproof Touch Control True Wireless Headphones for iPhone/Android/IOS",Electronics & Photo,9.99,100000,8,4.3,4,,,11.57,0.84,No,,,,,,,,0.26,
0739096362,,Mini Music Guides -- Guitar Repair & Maintenance: Guitar Care and Gear Essentials,Books,8.95,905269,1,4.1,4,,,5.96,0.81,No,,,,,,,,0.04,
B0GJL5RFSW,,"aowoka Bluetooth Speaker, 2026 Portable Wireless Speakers With Led Light, Bluetooth 5.4, 24H Playtime, Enhanced Bass, IPX7 Waterproof, Outdoor Speaker for Travel, Sport, Party, Biking.",Electronics & Photo,16.99,100000,8,3.7,1,,,20.68,0.43,No,,,,,,,,1.73,
B09P3YJJ4M,,"Joyzan Soft Clarinet Cleaner, Mouthpiece Brush Microfiber Cleaning Saver Care Kit Cleaner Protector Pad Tool Bristles Sax Trumpet Brushes Multifunction Accessory for Woodwinds Music Instruments",Musical Instruments & DJ,4.89,66092,8,3.5,1,,,5.71,0.73,No,,,,,,,,-1.35,
