ASIN,UPC,Title,Category,Amazon Price (£),Sales Rank,Est. Monthly Sales,Opportunity Score,Num Sellers,Num FBA Sellers,Buy Box Owner,Avg Price (90d) (£),Price Stability,Underserved,Supplier Name,Supplier Cost (£),Shipping Cost (£),Total Cost (£),Est. Profit/Unit (£),Profit Margin (%),ROI (%),Profit Potential (£),Notes
B09F6P576D,,"Guitar Lab Guitar Accessories Kit - Premium Metal Tin, Guitar Gifts for Men, Includes Guitar Strap, Capo, Tuner & Picks - Acoustic, Bass, Electric, Ukelele - Gift Set for Guitarists",Musical Instruments & DJ,26.99,1011,157,18.9,1,,,26.35,0.89,Yes,,,,,,,,3.83,
B09SFYSW66,,"31 Pcs Guitar Maintenance Tool Kit, POGOLAB Guitar Repairing Tool Kit with Carrying Bag for Ukulele Bass Mandolin Banjo, Gift for Music String Instrument Enthusiast",Musical Instruments & DJ,20.99,1473,121,18.8,1,,,18.16,0.89,Yes,,,,,,,,2.56,
B0DFCWK2C7,,"Havendi Clip-On Tuner I Guitar, Bass, Violin & Ukulele Tuner I Precise Tuning with Color Display & 360° Rotation I Includes Battery – Chromatic Guitar Tuner for Musicians",Musical Instruments & DJ,12.90,734,197,18.6,1,,,12.34,0.87,Yes,,,,,,,,0.86,
B0BF5W643L,,"KEPLIN Guitar Stand - Universal A Frame Black – Foldable Portable Floor Stand for Acoustic Electric & Bass Guitars, Lightweight Compact Guitar Holder for Home Studio Stage Practice Gig Musicians",Musical Instruments & DJ,9.99,29,1893,18.5,2,,,9.85,0.92,Yes,,,,,,,,0.26,
B0F17LB992,,"Guitar Cleaning Kit: Gloss Wax,Fret Polish,Fingerboard Lemon Oil,String Cleaner Oil,Masking Tape,Cleaning Brush & Cleaning Cloth Extends Fretboard and String Life",Musical Instruments & DJ,22.99,476,267,18.4,2,,,31.72,0.75,Yes,,,,,,,,2.98,
B088PQGSKB,,"72 PCS Guitar Accessories Kit, FOVERN1 Guitar Tools Set Including Guitar Picks, Capo, Tuner, Guitar Strings, 3 in 1String Winder,Bridge Pins, 6 String Bone Bridge Saddle and Nut, Finger Picks",Musical Instruments & DJ,15.99,2033,96,18.2,1,,,17.97,0.80,Yes,,,,,,,,1.51,
B08T9795HG,,"Fansjoy Violin Rosin 2 Pack, Natural Rosin with Case, Light Low Dust Rosin for Violin Viola and Cello Bows",Musical Instruments & DJ,9.99,901,170,18.2,1,,,9.81,0.83,Yes,,,,,,,,0.26,
B000NE3JZ6,,"D'Addario Violin Rosin - Cello Rosin - Kaplan Premium Light Rosin with Case for Violin, Viola, Cello - For Horsehair or Synthetic Bows",Musical Instruments & DJ,9.91,449,278,18.1,4,,,7.75,0.80,Yes,,,,,,,,0.24,
B0BKWNQZZH,,Hidersine 3VS Series Premium Violin Rosin. Slim Pack for easy transport and storage. Resin for Violin bows. Handmade in the UK.,Musical Instruments & DJ,8.29,159,575,18.1,2,,,7.41,0.85,Yes,,,,,,,,-0.17,
B000RXYVQO,,Hidersine 6V Deluxe Violin Rosin. Dark. Large size. Handmade in the UK. 30g rosin cake. Enhanced Bow control for proficient violinists. Resin for Violinists.,Musical Instruments & DJ,9.95,159,575,18.0,1,,,5.28,0.78,Yes,,,,,,,,0.25,
